archetype_id,label,weight,sector_code,size_band,formality,digital_maturity,budget_posture,owner_sophistication,workflow_complexity,customer_interaction,staff_intensity,channel_mix,payment_cycle_friction,compliance_burden,decision_speed,ability_to_pay,needs_customer_support,needs_document_admin,needs_sales_marketing,needs_collections,needs_ops_scheduling,needs_hr_internal,needs_analytics,needs_training,evidence_refs,assumption_note
retail_cash_counter,Neighborhood retail cash counter,0.18,retail_trade,micro,mixed,nascent,constrained,medium,medium,high,low,physical_store,high,low,fast,35,40,35,45,35,45,15,20,20,dcs-non-agri-colombo-establishments|dcs-trade-bulletin-colombo-retail-share,Retail-heavy micro segment inferred from Colombo trade structure
retail_chain_admin,Formal retail admin hub,0.07,retail_trade,small,formal,emerging,targeted,medium,medium,high,medium,omnichannel,medium,medium,medium,55,55,50,60,50,50,25,40,25,dcs-non-agri-colombo-establishments|dcs-trade-bulletin-colombo-retail-share,Small formal retail operator with admin and customer-service pressure
restaurant_delivery_operator,Restaurant and delivery operator,0.11,food_service,small,mixed,emerging,targeted,medium,high,high,medium,physical_plus_platform,medium,medium,fast,50,60,45,55,30,70,25,35,30,dcs-non-agri-colombo-establishments,Food-service workflow intensity inferred from multi-channel operations
clinic_lab_pharmacy,Clinic lab pharmacy,0.07,healthcare_services,small,formal,operational,targeted,high,high,medium,medium,appointment_and_walkin,medium,high,medium,65,50,80,30,45,55,25,55,40,dcs-non-agri-colombo-establishments,Healthcare admin and documentation load inferred from regulated workflows
tuition_education_provider,Tuition and education provider,0.07,education_services,small,mixed,emerging,constrained,medium,medium,high,medium,classroom_plus_whatsapp,medium,medium,fast,45,45,50,40,55,40,20,30,60,dcs-non-agri-colombo-establishments|dcs-lfs-q2-2025,Education service segment tied to youth skill demand proxy
logistics_field_service,Logistics and field service operator,0.10,logistics_services,small,mixed,emerging,targeted,medium,high,medium,high,phone_plus_whatsapp,high,medium,fast,52,45,55,35,60,85,20,45,35,dcs-non-agri-colombo-establishments,Field operations intensity inferred from dispatch-heavy service workflows
real_estate_brokerage,Real-estate brokerage,0.06,real_estate_services,micro,mixed,nascent,constrained,medium,medium,high,low,phone_plus_whatsapp,high,low,fast,42,50,40,75,55,35,10,25,20,dcs-non-agri-colombo-establishments,Lead-response and sales-intensity proxy for broker-heavy firms
professional_services_agency,Professional services agency,0.12,professional_services,small,formal,operational,targeted,high,medium,medium,medium,email_plus_whatsapp,medium,medium,medium,68,35,70,50,50,35,35,65,40,dcs-non-agri-colombo-establishments,Document-heavy knowledge-work operator
workshop_light_manufacturing,Workshop and light manufacturing,0.08,light_manufacturing,small,mixed,nascent,constrained,medium,high,low,medium,distributor_plus_phone,high,medium,medium,48,20,50,35,55,80,20,30,35,dcs-non-agri-colombo-establishments,Operations and collections burden inferred from workshop workflows
distributor_wholesaler,Distributor and wholesaler,0.09,wholesale_distribution,medium,formal,operational,expansionary,high,high,medium,medium,field_sales,high,medium,medium,72,35,65,55,70,60,30,70,35,dcs-non-agri-colombo-establishments,Formal back-office and collections-heavy mid-market operator
hospitality_booking_ops,Hospitality booking ops,0.05,tourism_hospitality,small,formal,emerging,targeted,medium,medium,high,medium,ota_plus_phone,medium,medium,medium,58,65,50,65,35,55,25,45,30,dcs-non-agri-colombo-establishments,Tourism and booking ops segment for consumer-facing service workflows
