archetype_id,sector_id,size_band,base_weight,formality,digital_maturity,workflow_complexity,owner_sophistication,customer_interaction,staff_intensity,channel_mix,payment_cycle_friction,compliance_burden,data_readiness,procurement_speed,ability_to_pay,roi_tolerance,substitute_pressure,claim_type,evidence_refs,assumption_note
retail_micro_cash,retail_trade,micro,0.12,semi_formal,nascent,medium,medium,high,medium,offline_first,high,low,low,fast,28,medium,high,INFERENCE,dcs-non-agri-colombo-establishments|dcs-informal-non-agri,Trade-heavy urban micro businesses with cash pressure and low systems depth
retail_small_omni,retail_trade,small,0.07,formal,emerging,medium,medium,high,medium,hybrid,medium,medium,medium,medium,48,medium,high,INFERENCE,dcs-non-agri-colombo-establishments|dcs-trade-bulletin-colombo-retail-share,Small retail operators with WhatsApp and card acceptance but limited integration
food_service_micro,food_service,micro,0.09,semi_formal,nascent,medium,medium,high,high,offline_first,high,low,low,fast,24,medium,high,INFERENCE,dcs-non-agri-colombo-establishments,Restaurants and food stalls with high customer interaction and labor pain
logistics_small,logistics_services,small,0.07,formal,emerging,high,medium,medium,high,phone_and_field,high,medium,medium,fast,52,high,medium,INFERENCE,dcs-non-agri-colombo-establishments,Logistics and field-service operators with routing and scheduling pain
healthcare_small,healthcare_services,small,0.06,formal,emerging,high,high,high,medium,appointment_led,medium,high,medium,medium,62,high,medium,INFERENCE,dcs-non-agri-colombo-establishments,Clinics labs and pharmacies with admin and compliance burden
education_small,education_services,small,0.06,formal,emerging,high,high,high,medium,hybrid,medium,medium,medium,medium,56,high,medium,INFERENCE,dcs-non-agri-colombo-establishments,Tuition centers and education providers with scheduling and learner engagement needs
salon_micro,personal_services,micro,0.05,semi_formal,nascent,low,medium,high,medium,phone_and_walkin,high,low,low,fast,20,medium,high,INFERENCE,dcs-non-agri-colombo-establishments,Salon and personal service operators with bookings and loyalty pain
real_estate_micro,real_estate_services,micro,0.05,semi_formal,emerging,medium,medium,high,low,whatsapp_led,high,low,low,fast,32,high,high,INFERENCE,dcs-non-agri-colombo-establishments,Real-estate brokers with lead follow-up pain and low systems depth
professional_small,professional_services,small,0.08,formal,operational,high,high,medium,medium,referral_and_digital,medium,medium,high,medium,64,high,medium,INFERENCE,dcs-non-agri-colombo-establishments,Agencies and professional firms with document and analytics pain
wholesale_small,wholesale_distribution,small,0.07,formal,emerging,high,medium,medium,medium,phone_and_field,high,medium,medium,medium,50,high,medium,INFERENCE,dcs-non-agri-colombo-establishments,Wholesalers and distributors with collections and route complexity
workshop_micro,light_manufacturing,micro,0.07,semi_formal,nascent,medium,low,low,high,offline_first,high,medium,low,fast,26,medium,medium,INFERENCE,dcs-non-agri-colombo-establishments,Workshops with labor intensity and limited digital systems
tourism_small,tourism_hospitality,small,0.05,formal,emerging,medium,medium,high,medium,ota_and_phone,medium,medium,medium,medium,46,medium,high,INFERENCE,dcs-non-agri-colombo-establishments,Tourism and hospitality operators with service and booking pain
construction_small,construction_contractors,small,0.05,semi_formal,emerging,high,medium,medium,high,field_first,high,medium,low,fast,44,high,medium,INFERENCE,dcs-non-agri-colombo-establishments,Contractors with site coordination and collections pain
finance_admin_medium,finance_admin_smes,medium,0.06,formal,operational,high,high,medium,medium,digital_first,medium,high,high,slow,72,high,medium,INFERENCE,dcs-non-agri-colombo-establishments,Finance and admin-heavy SMEs with strong document and workflow ROI cases
growth_services_medium,growth_services,medium,0.05,formal,advanced,high,high,high,medium,digital_first,medium,medium,high,medium,78,high,medium,INFERENCE,dcs-non-agri-colombo-establishments,Higher-maturity service SMEs with expansion appetite and stronger budgets
